Months,PHYTO_TOTAL,DIATO,DINO,HAPTO,GREEN,PROKAR,PROCHLO,DIATO_REL,DINO_REL,HAPTO_REL,GREEN_REL,PROKAR_REL,PROCHLO_REL
2003-01-01,3.488227,0.958557,0.329338,0.207951,0.118761,1.54672,0.3269,0.2747977697552367,0.09441415366603148,0.05961509959070897,0.034046236096446705,0.4434115096293905,0.09371523126218563
2003-02-01,3.360002,0.805949,0.377044,0.231764,0.111635,1.48489,0.34872,0.23986563103236247,0.11221540939558963,0.06897733989444053,0.03322468260435559,0.44193128456471154,0.10378565250854016
2003-03-01,3.326606,0.764931,0.378755,0.197534,0.101069,1.55227,0.332047,0.22994337171279078,0.1138562847538903,0.0593800407983392,0.030382016986682525,0.4666227380098515,0.09981554773844573
2003-04-01,2.6478639999999998,0.637931,0.304692,0.216485,0.174707,1.11178,0.202269,0.24092287217168257,0.11507086466676537,0.08175835314804689,0.06598035246523236,0.41987806020248775,0.07638949734578514
2003-05-01,2.1963475999999997,0.392078,0.243528,0.204005,0.0907946,1.09857,0.167372,0.17851363782308413,0.1108786241303517,0.09288374936644819,0.041338902822121604,0.5001803903899366,0.07620469546805797
2003-06-01,2.357589,0.273599,0.209966,0.165734,0.105631,1.44346,0.159199,0.11605033786635414,0.08905962828974856,0.07029808842847503,0.0448046712128365,0.6122610853715384,0.06752618883104732
2003-07-01,2.959429,0.598855,0.227015,0.175775,0.109971,1.69462,0.153193,0.20235491373504821,0.07670905434798402,0.05939490354389309,0.03715953313966985,0.5726172177132819,0.051764377520122966
2003-08-01,2.7984256999999997,0.175934,0.199986,0.136558,0.0834437,2.02345,0.179054,0.06286891947854825,0.0714637519230902,0.048798151046139986,0.02981808664778915,0.7230672588520038,0.06398383205242862
2003-09-01,3.3501282,0.195147,0.200438,0.127053,0.0926792,2.49566,0.239151,0.05825060664842617,0.05982994919418308,0.03792481732490118,0.027664374157382994,0.7449446262981817,0.07138562637692492
2003-10-01,4.077674,0.205216,0.201103,0.125402,0.118648,3.10339,0.323915,0.05032673038599947,0.04931806711375161,0.030753316719286536,0.02909698028827219,0.7610686876881281,0.07943621780456211
2003-11-01,3.573195,0.318759,0.202725,0.135951,0.103761,2.49078,0.321219,0.08920839752658336,0.05673493889922044,0.038047461725430595,0.02903871745034906,0.6970736273838959,0.0898968570145206
2003-12-01,3.8576770000000002,0.474118,0.2704,0.168981,0.109771,2.4684,0.366007,0.12290246176649833,0.0700939969831585,0.043803822870603214,0.02845520762883984,0.6398669458329456,0.09487756491795452
2004-01-01,3.9526450000000004,0.730288,0.36193,0.206825,0.13726,2.12813,0.388212,0.18475931939245746,0.0915665332960587,0.0523257211310401,0.034726113779507135,0.5384065606701335,0.09821575173080303
2004-02-01,3.24219,0.645526,0.296563,0.187912,0.120869,1.63992,0.3514,0.19910184165641126,0.0914699632038838,0.05795835530922,0.03728004836237235,0.5058062605831244,0.10838353088498823
2004-03-01,2.7368400000000004,0.650931,0.305871,0.201188,0.127797,1.17311,0.277943,0.2378403560310431,0.11176064366203357,0.07351105654696656,0.046695093611610464,0.42863667587436605,0.1015561742739802
2004-04-01,2.830297,0.603158,0.32521,0.170463,0.108056,1.37009,0.25332,0.21310767032576441,0.1149031356073232,0.06022795487540707,0.03817832545489042,0.48407993931378934,0.08950297442282559
2004-05-01,2.5360923,0.512643,0.274125,0.173885,0.0924173,1.29025,0.192772,0.20213893634707222,0.10808952024340755,0.06856414492485152,0.03644082670019541,0.5087551427051767,0.07601142907929652
2004-06-01,1.92754,0.21361,0.180307,0.152169,0.115544,1.143,0.12291,0.11082000892329082,0.09354254645817985,0.07894466522095521,0.05994376251595297,0.5929838031895577,0.06376521369206346
2004-07-01,2.3980714,0.207301,0.19816,0.143724,0.0721024,1.62684,0.149944,0.08644488233336171,0.08263306922387716,0.059933161289526235,0.030066827868427935,0.6783951470335704,0.06252691225123655
2004-08-01,2.8494187999999996,0.164426,0.196877,0.137634,0.0906958,2.08396,0.175826,0.057705101124481954,0.06909373939696054,0.04830248189560623,0.03182957871970242,0.7313631818530854,0.061705917010163626
2004-09-01,3.5221507,0.202733,0.19462,0.125407,0.0925027,2.65443,0.252458,0.05755943378572643,0.05525601161812866,0.035605234040667254,0.02626312951345324,0.7536389626940153,0.07167722834800908
2004-10-01,4.132697,0.187919,0.200039,0.120626,0.102504,3.18842,0.333189,0.045471274569609144,0.04840398412949219,0.02918820324838719,0.024803173327248525,0.7715107108021709,0.08062265392309187
2004-11-01,4.040666,0.275664,0.225374,0.135568,0.104261,2.94604,0.353759,0.0682224167996068,0.055776448733946334,0.03355090472709202,0.025802924567385675,0.7290976289552267,0.08754967621674249
2004-12-01,3.667408,0.428077,0.252494,0.165371,0.129245,2.34754,0.344681,0.11672467312063452,0.0688480801699729,0.04509206502249,0.03524151117083237,0.6401087634645505,0.09398490705151977
2005-01-01,4.303605999999999,0.923325,0.392137,0.197946,0.127355,2.21584,0.447003,0.2145468242213623,0.09111823898377316,0.04599538154747438,0.029592625347208832,0.5148798472722643,0.10386708262791716
